wave	var	page	description	labels	depends_on	section	source
Interview 1 (prenatal, ~12 wk gestation)	GRAVNR	3	Woman's pregnancy ID in Better Health for Mother and Child				extracted
Interview 1 (prenatal, ~12 wk gestation)	LOBNR	3	Serial number (woman's ID number in Better Health for Mother and Child)				extracted
Interview 1 (prenatal, ~12 wk gestation)	LOBGRAV	3	Identification number of the pregnancy INTRODUCTION Hello, my name is Could I please speak to ? Hello my name is , I am calling from the investigation "Better Health for Mother and Child" Thank you for agreeing to participate in this investigation. Would it be convenient for you to be interviewed now? If NO, please agree on another time for the interview				extracted
Interview 1 (prenatal, ~12 wk gestation)	A001	6	Have you been pregnant before?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A002	6	How many times have you been pregnant before?	1. _____times | 2. do not know | 3. do not want to answer | 9. undefined | 10. Irrelevant	Depends on: A001		extracted
Interview 1 (prenatal, ~12 wk gestation)	A002A	6	Total number of pregnancies		Depends on: A002		extracted
Interview 1 (prenatal, ~12 wk gestation)	A003	6	Have you given birth before?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001		extracted
Interview 1 (prenatal, ~12 wk gestation)	A004	6	How many times did you give birth before	1. times 0400A; , if A002 =A004 | 2. do not know | 3. do not want to answer | 9. undefined | 10.irrelevant	Depends on: A001 A002		extracted
Interview 1 (prenatal, ~12 wk gestation)	A004A	6	Total number previous births		Depends on: A004		extracted
Interview 1 (prenatal, ~12 wk gestation)	A005	6	Did you ever have any spontaneous abortions?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 5. undefined | 6. irrelevant	Depends on: A001 A002 A004		extracted
Interview 1 (prenatal, ~12 wk gestation)	A005A	6	Total number previous abortions		Depends on: A005		extracted
Interview 1 (prenatal, ~12 wk gestation)	A006_1-10	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		range-header
Interview 1 (prenatal, ~12 wk gestation)	A006_1	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_2	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_3	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_4	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_5	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_6	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_7	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_8	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_9	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A006_10	7	In which gestation week did you have the abortion (.g. for the 1st time)?	1. 5-12. week (=1-3 months) | 2. 13.-16. week | 3. 17.- 32. week | 4. after 32. week | 5. do not know | 6. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004 A005		expanded
Interview 1 (prenatal, ~12 wk gestation)	A007	7	Did you ever have a pregnancy outside uterus?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A001 A002 A004		extracted
Interview 1 (prenatal, ~12 wk gestation)	A007A	7	Number of previous pregnancies outside uterus		Depends on: A007		extracted
Interview 1 (prenatal, ~12 wk gestation)	A008	7	Did you use oral contraceptive pills during the last four months prior to this pregnancy?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A009	7	Was it the mini pill or the regular pill? A009_1. regular contraceptive pills A009_2. mini pills A009_3. do not know A009_4. do not want to answer		Depends on: A008		extracted
Interview 1 (prenatal, ~12 wk gestation)	A009_1	7	Was it the mini pill or the regular pill? - regular contraceptive pills		Depends on: A008		expanded
Interview 1 (prenatal, ~12 wk gestation)	A009_2	7	Was it the mini pill or the regular pill? - mini pills		Depends on: A008		expanded
Interview 1 (prenatal, ~12 wk gestation)	A009_3	7	Was it the mini pill or the regular pill? - do not know		Depends on: A008		expanded
Interview 1 (prenatal, ~12 wk gestation)	A009_4	7	Was it the mini pill or the regular pill? - do not want to answer		Depends on: A008		expanded
Interview 1 (prenatal, ~12 wk gestation)	A010	7	In which month of the year did you stop taking contraceptive pills?	1. 1 (January) | 2. 2 (February) | 3. 3 (March) | 4. 4 (April) | 5. 5 (May) | 6. 6 (June) | 7. 7 (July) | 8. 8 (August) | 9. 9 (September) | 10. 10 (October) | 11. 11 (November) | 12. 12 (December) | 13. do not know | 14. do not want to answer | 99. undefined | 100.irrelevant	Depends on: A008 A009		extracted
